features,accuracy,true_negative,false_positive,false_negative,true_positive,Cost
"['feature_1', 'feature_20', 'feature_206', 'feature_478']",0.762755102,295,71,22,4,1370
"['feature_1', 'feature_20', 'feature_206', 'feature_520']",0.788265306,302,64,19,7,1210
"['feature_1', 'feature_20', 'feature_248', 'feature_342']",0.788265306,304,62,21,5,1250
"['feature_1', 'feature_20', 'feature_248', 'feature_478']",0.793367347,306,60,21,5,1230
"['feature_1', 'feature_20', 'feature_248', 'feature_520']",0.75,289,77,21,5,1400
"['feature_1', 'feature_20', 'feature_342', 'feature_478']",0.790816327,304,62,20,6,1220
"['feature_1', 'feature_20', 'feature_342', 'feature_520']",0.788265306,304,62,21,5,1250
"['feature_1', 'feature_20', 'feature_478', 'feature_520']",0.803571429,308,58,19,7,1150
"['feature_1', 'feature_34', 'feature_60', 'feature_122']",0.839285714,321,45,18,8,990
"['feature_1', 'feature_34', 'feature_60', 'feature_131']",0.831632653,316,50,16,10,980
"['feature_1', 'feature_34', 'feature_60', 'feature_206']",0.839285714,319,47,16,10,950
"['feature_1', 'feature_34', 'feature_60', 'feature_248']",0.823979592,312,54,15,11,990
"['feature_1', 'feature_34', 'feature_60', 'feature_342']",0.841836735,319,47,15,11,920
"['feature_1', 'feature_34', 'feature_60', 'feature_478']",0.818877551,313,53,18,8,1070
"['feature_1', 'feature_34', 'feature_60', 'feature_520']",0.806122449,304,62,14,12,1040
"['feature_1', 'feature_34', 'feature_122', 'feature_131']",0.831632653,321,45,21,5,1080
"['feature_1', 'feature_34', 'feature_122', 'feature_206']",0.816326531,316,50,22,4,1160
"['feature_1', 'feature_34', 'feature_122', 'feature_248']",0.823979592,314,52,17,9,1030
"['feature_1', 'feature_34', 'feature_122', 'feature_342']",0.81122449,313,53,21,5,1160
"['feature_1', 'feature_34', 'feature_122', 'feature_478']",0.81377551,314,52,21,5,1150
"['feature_1', 'feature_34', 'feature_122', 'feature_520']",0.836734694,317,49,15,11,940
"['feature_1', 'feature_34', 'feature_131', 'feature_206']",0.783163265,303,63,22,4,1290
"['feature_1', 'feature_34', 'feature_131', 'feature_248']",0.808673469,310,56,19,7,1130
"['feature_1', 'feature_34', 'feature_131', 'feature_342']",0.788265306,306,60,23,3,1290
"['feature_1', 'feature_34', 'feature_131', 'feature_478']",0.788265306,305,61,22,4,1270
"['feature_1', 'feature_34', 'feature_131', 'feature_520']",0.798469388,307,59,20,6,1190
"['feature_1', 'feature_34', 'feature_206', 'feature_248']",0.808673469,307,59,16,10,1070
"['feature_1', 'feature_34', 'feature_206', 'feature_342']",0.783163265,300,66,19,7,1230
"['feature_1', 'feature_34', 'feature_206', 'feature_478']",0.775510204,297,69,19,7,1260
"['feature_1', 'feature_34', 'feature_206', 'feature_520']",0.808673469,305,61,14,12,1030
"['feature_1', 'feature_34', 'feature_248', 'feature_342']",0.798469388,303,63,16,10,1110
"['feature_1', 'feature_34', 'feature_248', 'feature_478']",0.816326531,311,55,17,9,1060
"['feature_1', 'feature_34', 'feature_248', 'feature_520']",0.772959184,290,76,13,13,1150
"['feature_1', 'feature_34', 'feature_342', 'feature_478']",0.788265306,305,61,22,4,1270
"['feature_1', 'feature_34', 'feature_342', 'feature_520']",0.798469388,304,62,17,9,1130
"['feature_1', 'feature_34', 'feature_478', 'feature_520']",0.798469388,303,63,16,10,1110
"['feature_1', 'feature_60', 'feature_122', 'feature_131']",0.81122449,309,57,17,9,1080
"['feature_1', 'feature_60', 'feature_122', 'feature_206']",0.831632653,316,50,16,10,980
"['feature_1', 'feature_60', 'feature_122', 'feature_248']",0.841836735,322,44,18,8,980
"['feature_1', 'feature_60', 'feature_122', 'feature_342']",0.841836735,321,45,17,9,960
